,Area_km2,Perimeter_km,Basin_Length_km,Drainage_Density_Dd,Stream_Frequency_Fs,Texture_Ratio_T,Form_Factor_Ff,Elongation_Ratio_Re,Circularity_Ratio_Rc,Compactness_Cc,LengthOverlandFlow_Lg,Basin_Relief_H_m,Relief_Ratio_Rh,Relative_Relief,Ruggedness_Rn,Melton_MRN,Hypsometric_HI,Slope_Mean_deg,TRI_Mean,Rbm
Area_km2,1.0,0.9,1.0,0.9,0.1,0.7,,,0.4,-0.4,-0.9,,-1.0,-0.9,0.9,-1.0,,0.2,0.2,0.9
Perimeter_km,0.9,1.0,0.9,0.7,0.0,0.4,,,0.0,0.0,-0.7,,-0.9,-1.0,0.7,-0.9,,0.1,0.1,1.0
Basin_Length_km,1.0,0.9,1.0,0.9,0.1,0.7,,,0.4,-0.4,-0.9,,-1.0,-0.9,0.9,-1.0,,0.2,0.2,0.9
Drainage_Density_Dd,0.9,0.7,0.9,1.0,0.3,0.9,,,0.7,-0.7,-1.0,,-0.9,-0.7,1.0,-0.9,,0.5,0.5,0.7
Stream_Frequency_Fs,0.1,0.0,0.1,0.3,1.0,0.6,,,0.5,-0.5,-0.3,,-0.1,0.0,0.3,-0.1,,0.9,0.9,0.0
Texture_Ratio_T,0.7,0.4,0.7,0.9,0.6,1.0,,,0.9,-0.9,-0.9,,-0.7,-0.4,0.9,-0.7,,0.7,0.7,0.4
Form_Factor_Ff,,,,,,,,,,,,,,,,,,,,
Elongation_Ratio_Re,,,,,,,,,,,,,,,,,,,,
Circularity_Ratio_Rc,0.4,0.0,0.4,0.7,0.5,0.9,,,1.0,-1.0,-0.7,,-0.4,0.0,0.7,-0.4,,0.6,0.6,0.0
Compactness_Cc,-0.4,0.0,-0.4,-0.7,-0.5,-0.9,,,-1.0,1.0,0.7,,0.4,0.0,-0.7,0.4,,-0.6,-0.6,0.0
LengthOverlandFlow_Lg,-0.9,-0.7,-0.9,-1.0,-0.3,-0.9,,,-0.7,0.7,1.0,,0.9,0.7,-1.0,0.9,,-0.5,-0.5,-0.7
Basin_Relief_H_m,,,,,,,,,,,,,,,,,,,,
Relief_Ratio_Rh,-1.0,-0.9,-1.0,-0.9,-0.1,-0.7,,,-0.4,0.4,0.9,,1.0,0.9,-0.9,1.0,,-0.2,-0.2,-0.9
Relative_Relief,-0.9,-1.0,-0.9,-0.7,0.0,-0.4,,,0.0,0.0,0.7,,0.9,1.0,-0.7,0.9,,-0.1,-0.1,-1.0
Ruggedness_Rn,0.9,0.7,0.9,1.0,0.3,0.9,,,0.7,-0.7,-1.0,,-0.9,-0.7,1.0,-0.9,,0.5,0.5,0.7
Melton_MRN,-1.0,-0.9,-1.0,-0.9,-0.1,-0.7,,,-0.4,0.4,0.9,,1.0,0.9,-0.9,1.0,,-0.2,-0.2,-0.9
Hypsometric_HI,,,,,,,,,,,,,,,,,,,,
Slope_Mean_deg,0.2,0.1,0.2,0.5,0.9,0.7,,,0.6,-0.6,-0.5,,-0.2,-0.1,0.5,-0.2,,1.0,1.0,0.1
TRI_Mean,0.2,0.1,0.2,0.5,0.9,0.7,,,0.6,-0.6,-0.5,,-0.2,-0.1,0.5,-0.2,,1.0,1.0,0.1
Rbm,0.9,1.0,0.9,0.7,0.0,0.4,,,0.0,0.0,-0.7,,-0.9,-1.0,0.7,-0.9,,0.1,0.1,1.0
