order,basin_id,Nu,Lu,Lsm,Rb,RL
1,SB1,209,54042.4398172155,258.57626706801676,2.4022988505747125,
2,SB1,87,22853.11318161015,262.67946185758797,1.891304347826087,1.0158684121945805
3,SB1,46,10986.055683618497,238.82729746996733,1.1219512195121952,0.9091966908301643
4,SB1,41,10307.111432710512,251.39296177342712,1.7826086956521738,1.0526140204096222
5,SB1,23,5992.656027125587,260.5502620489386,,1.0364262396644368
1,SB2,269,68134.38479573748,253.28767582058543,2.2416666666666667,
2,SB2,120,31291.093290207747,260.7591107517312,1.6901408450704225,1.0294978226119385
3,SB2,71,18227.48069501286,256.7250802114487,1.7317073170731707,0.9845296659869218
4,SB2,41,11344.938638520314,276.705820451715,1.5185185185185186,1.0778293270911024
5,SB2,27,8300.078205242997,307.41030389788875,,1.1109643570057526
1,SB3,293,82769.95743070575,282.4913222890981,2.5929203539823007,
2,SB3,113,31506.811599335735,278.8213415870419,1.4675324675324675,0.9870085188022152
3,SB3,77,19414.464145891005,252.13589799858448,2.3333333333333335,0.9042919618829579
4,SB3,33,7621.512000380842,230.95490910244976,2.357142857142857,0.9159937594596164
5,SB3,14,3364.789068402316,240.34207631445113,0.3181818181818182,1.0406450213527927
6,SB3,44,11797.463931533723,268.12418026213004,,1.1155940082307112
1,SB4,324,97394.04764978675,300.5989124993418,2.4732824427480917,
2,SB4,131,42337.077517745274,323.18379784538376,1.3505154639175259,1.0751329575954185
3,SB4,97,22969.015370765163,236.79397289448622,3.5925925925925926,0.732691349235806
4,SB4,27,6565.91611098679,243.18207818469594,2.7,1.026977482628142
5,SB4,10,2481.867760881112,248.18677608811123,0.2222222222222222,1.0205800441413049
6,SB4,45,12522.558058580671,278.27906796845934,,1.1212485707524753
1,SB5,729,206395.71378550495,283.1216924355349,2.042016806722689,
2,SB5,357,90251.80424508013,252.80617435596676,2.087719298245614,0.8929240715581311
3,SB5,171,46390.99500556459,271.29236845359407,1.1875,1.0731239818201497
4,SB5,144,29365.602999116778,203.92779860497762,3.2,0.7516901406677811
5,SB5,45,7702.083457727973,171.15741017173272,4.090909090909091,0.8393039661222282
6,SB5,11,2573.086578649198,233.91696169538164,,1.366677384640714
